,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team,
3,20/07/2024,17:05,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,2,0,Mazatlán,0.7,1,55,,Javier Hernández,4-1-4-1,04/04/2002,,Match Report,,13,4,22.5,2,0,0,2024,Guadalajara,
4,24/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,D,1,1,UANL,1.3,1.7,50,,Erick Gutiérrez,4-1-4-1,04/04/2002,,Match Report,,10,6,18.2,0,0,0,2024,Guadalajara,
5,31/08/2024,17:05,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,5,0,FC Juárez,3.3,1.2,56,,Erick Gutiérrez,4-1-4-1,4-2-3-1,Adonai Escobedo,Match Report,,12,6,15.9,1,1,1,2024,Guadalajara,
6,14/09/2024,18:50,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,1,América,0.8,0.5,67,,Erick Gutiérrez,4-2-3-1,04/04/2002,Víctor Cáceres,Match Report,,16,1,20.5,0,0,0,2024,Guadalajara,
7,18/09/2024,19:05,Liga MX,Apertura 2024 Regular Season,Wed,Home,W,2,0,León,1.4,0.8,46,,Erick Gutiérrez,4-2-3-1,04/04/2002,Guillermo Pacheco,Match Report,,10,3,21,2,1,1,2024,Guadalajara,
8,21/09/2024,21:05,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,1,Cruz Azul,0.8,1.9,44,,Erick Gutiérrez,4-1-3-2,05/04/2001,Daniel Quintero,Match Report,,12,5,14.6,0,0,0,2024,Guadalajara,
9,28/09/2024,21:05,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,1,1,Monterrey,1.8,0.3,48,,Erick Gutiérrez,4-1-4-1,4-1-2-1-2,Jesus Lopez,Match Report,,11,3,16.4,0,0,0,2024,Guadalajara,
10,05/10/2024,19:05,Liga MX,Apertura 2024 Regular Season,Sat,Home,L,2,3,Atlas,1.2,1.3,70,,Víctor Guzmán,4-1-4-1,4-2-3-1,Fernando Hernández,Match Report,,20,7,15.9,1,0,0,2024,Guadalajara,
11,19/10/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,W,2,0,Pachuca,0.3,1,46,,Gilberto Sepúlveda,05/03/2002,4-2-3-1,César Arturo Ramos,Match Report,,3,2,14.8,0,0,0,2024,Guadalajara,
12,22/10/2024,19:05,Liga MX,Apertura 2024 Regular Season,Tue,Home,W,3,2,Necaxa,1.9,1.2,60,31120,Fernando Beltrán,05/03/2002,3-4-1-2,Víctor Cáceres,Match Report,,24,5,20.5,1,0,0,2024,Guadalajara,
